data,values_g,diff_g,values_e,diff_e,prod_pe,prod_et,venda_g,venda_e,cos_year,sin_year
2009-05-01,538684.07,-26703.98100000003,687715.543,-49854.5070000001,1.1841973145126694,1.0,1.584665157258336,1.2136231797351626,0.9993041602518569,-0.0372987305860572
2009-06-01,539760.871,1076.801000000094,715570.3831,27854.84010000003,1.067444145337791,1.0,1.4680812135184833,1.161443828657466,0.9993041602518569,-0.0372987305860572
2009-07-01,542758.554,2997.682999999961,726088.402,10518.018900000025,1.1289196482452042,1.0,1.4350734782928276,1.1973421927869812,0.9993041602518569,-0.0372987305860572
2009-08-01,534094.665,-8663.888999999966,724843.942,-1244.4599999999627,0.35906736103549197,1.0,1.3232536252304845,1.2373638503908295,0.9993041602518569,-0.0372987305860572
2009-09-01,545078.95,10984.284999999916,761222.426,36378.48399999994,2.118925351984238,1.0,1.2805937428432945,1.298983300764834,0.9993041602518569,-0.0372987305860572
2009-10-01,599644.925,54565.97500000009,787765.596,26543.17000000004,2.2543984352474307,1.0,1.8803295785658667,1.48525250746389,0.9993041602518569,-0.0372987305860572
2009-11-01,551032.466,-48612.45900000003,698273.455,-89492.14100000006,1.930512319980631,1.0,2.170102753256405,1.5597750868910318,0.9993041602518569,-0.0372987305860572
2009-12-01,544202.2685083332,113424.93299999996,819605.484,121332.0290000001,2.065013696424943,1.0,2.2659828506599577,1.6008094937360564,0.9993041602518569,-0.0372987305860572
2010-01-01,654202.264,-10255.13500000001,511031.731,-308573.753,2.182524988542944,1.0,2.355393730949619,1.8112482131770984,0.9994152904904801,-0.03419176997216221
2010-02-01,654294.827,92.56300000008196,707573.326425,-45654.272000000055,2.144825257832869,1.0,2.3876698686718134,1.8431361010172975,0.9994152904904801,-0.03419176997216221
2010-03-01,694141.558,39846.73099999991,644551.9437,179174.48469999997,2.2659828506599577,1.0,2.3113613745058057,1.6421580895101435,0.9994152904904801,-0.03419176997216221
2010-04-01,607506.779,-86634.77899999998,697389.5482,52837.604500000016,2.277467153130771,1.0,2.2543984352474307,1.485139598185079,0.9994152904904801,-0.03419176997216221
2010-05-01,582042.9,-25463.87899999996,751664.296,54274.74780000001,2.33353114221729,1.0,2.051045148649316,1.3713350926830563,0.9994152904904801,-0.03419176997216221
2010-06-01,571140.131,-10902.768999999971,743878.682,-7785.613999999943,2.3113613745058057,1.0,2.105723696320472,1.300372731282453,0.9994152904904801,-0.03419176997216221
2010-07-01,583503.037,12362.90599999996,765862.401,21983.718999999925,2.355393730949619,1.0,2.0923436423886326,1.3404777119553544,0.9994152904904801,-0.03419176997216221
2010-08-01,586265.033,2761.996000000043,754246.48,-11615.920999999971,2.344499113761031,1.0,2.131956666272123,1.4022726384265245,0.9994152904904801,-0.03419176997216221
2010-09-01,583459.506,-2805.527000000002,764545.313,10298.832999999984,2.3224864066421347,1.0,2.2069673095147464,1.4286530923840708,0.9994152904904801,-0.03419176997216221
2010-10-01,598530.562,15071.055999999982,733748.033,-30797.27999999991,2.3662182883097738,1.0,2.277467153130771,1.555094551611415,0.9994152904904801,-0.03419176997216221
2010-11-01,611718.127,13187.564999999944,749601.1215,15853.088499999954,2.2888556260632935,1.0,2.300152382174724,1.6029170285665764,0.9994152904904801,-0.03419176997216221
2010-12-01,581543.7977,97713.804,792359.6885,42758.56700000004,2.3769759724228967,1.0,2.344499113761031,1.673067182947691,0.9994152904904801,-0.03419176997216221
2011-01-01,597860.308,-111571.62300000002,638352.2955,-154007.39300000004,2.572306559657849,1.0,2.3769759724228967,1.738088763280935,0.9995167608264586,-0.031084478875862714
2011-02-01,638275.979,40415.67100000009,665081.8722,26729.576699999976,2.460981758567386,1.0,2.3662182883097738,1.7617662850943965,0.9995167608264586,-0.031084478875862714
2011-03-01,641375.5420249999,256700.01099999997,700822.8698975,-239522.7692,2.4402842025768394,1.0,2.3983029675683967,2.0098935373289253,0.9995167608264586,-0.031084478875862714
